surface_name	site_name	species_name	formation_energy	frequencies	reference
Ag	111	C	5.68	[]	"This Work, BEEF-vdw"
Ag	111	C-H	6.61	[]	"This Work, BEEF-vdw"
Ag	111	C-O	8.7	[]	"This Work, BEEF-vdw"
Ag	111	CH	4.01	[]	"This Work, BEEF-vdw"
Ag	111	CH-H	4.94	[]	"This Work, BEEF-vdw"
Ag	111	CH2	3.04	[]	"This Work, BEEF-vdw"
Ag	111	CH2-H	3.97	[]	"This Work, BEEF-vdw"
Ag	111	CH3	1.57	[]	"This Work, BEEF-vdw"
Ag	111	CH3-H	2.5	[]	"This Work, BEEF-vdw"
Ag	111	CO	1.33	[]	"This Work, BEEF-vdw"
Ag	111	CO-O	2.7	[]	"This Work, BEEF-vdw"
Ag	111	H	0.23	[]	"This Work, BEEF-vdw"
Ag	111	H-H	0.77	[]	"This Work, BEEF-vdw"
Ag	111	O	1.37	[]	"This Work, BEEF-vdw"
Au	111	C	4.77	[]	"This Work, BEEF-vdw"
Au	111	C-H	5.84	[]	"This Work, BEEF-vdw"
Au	111	C-O	0	[]	"This Work, BEEF-vdw"
Au	111	CH	3.24	[]	"This Work, BEEF-vdw"
Au	111	CH-H	4.26	[]	"This Work, BEEF-vdw"
Au	111	CH2	2.66	[]	"This Work, BEEF-vdw"
Au	111	CH2-H	3.43	[]	"This Work, BEEF-vdw"
Au	111	CH3	1.33	[]	"This Work, BEEF-vdw"
Au	111	CH3-H	2.2	[]	"This Work, BEEF-vdw"
Au	111	CO	1.38	[]	"This Work, BEEF-vdw"
Au	111	CO-O	3.4	[]	"This Work, BEEF-vdw"
Au	111	H	0.17	[]	"This Work, BEEF-vdw"
Au	111	H-H	0.93	[]	"This Work, BEEF-vdw"
Au	111	O	1.92	[]	"This Work, BEEF-vdw"
Cu	111	C	4.27	[]	"This Work, BEEF-vdw"
Cu	111	C-H	4.995	[]	"This Work, BEEF-vdw"
Cu	111	C-O	6.42	[]	"This Work, BEEF-vdw"
Cu	111	CH	2.795	[]	"This Work, BEEF-vdw"
Cu	111	CH-H	3.51	[]	"This Work, BEEF-vdw"
Cu	111	CH2	2.31	[]	"This Work, BEEF-vdw"
Cu	111	CH2-H	2.875	[]	"This Work, BEEF-vdw"
Cu	111	CH3	1.275	[]	"This Work, BEEF-vdw"
Cu	111	CH3-H	1.9	[]	"This Work, BEEF-vdw"
Cu	111	CO	0.92	[]	"This Work, BEEF-vdw"
Cu	111	CO-O	1.8	[]	"This Work, BEEF-vdw"
Cu	111	H	-0.075	[]	"This Work, BEEF-vdw"
Cu	111	H-H	0.705	[]	"This Work, BEEF-vdw"
Cu	111	O	0.38	[]	"This Work, BEEF-vdw"
Ni	111	C	0.9	[]	"This Work, BEEF-vdw"
Ni	111	C-H	1.71	[]	"This Work, BEEF-vdw"
Ni	111	C-O	0	[]	"This Work, BEEF-vdw"
Ni	111	CH	0.31	[]	"This Work, BEEF-vdw"
Ni	111	CH-H	1	[]	"This Work, BEEF-vdw"
Ni	111	CH2	0.66	[]	"This Work, BEEF-vdw"
Ni	111	CH2-H	1.34	[]	"This Work, BEEF-vdw"
Ni	111	CH3	0.54	[]	"This Work, BEEF-vdw"
Ni	111	CH3-H	1.3	[]	"This Work, BEEF-vdw"
Ni	111	CO	-0.02	[]	"This Work, BEEF-vdw"
Ni	111	CO-O	0.89	[]	"This Work, BEEF-vdw"
Ni	111	H	0	[]	"This Work, BEEF-vdw"
Ni	111	H-H	0	[]	"This Work, BEEF-vdw"
Ni	111	O	-0.36	[]	"This Work, BEEF-vdw"
None	gas	CH4	0	[]	"This Work, BEEF-vdw"
None	gas	CO	1.28	[]	"This Work, BEEF-vdw"
None	gas	CO2	0	[]	"This Work, BEEF-vdw"
None	gas	H2	0	[]	"This Work, BEEF-vdw"
Pd	111	C	2.54	[]	"This Work, BEEF-vdw"
Pd	111	C-H	3.155	[]	"This Work, BEEF-vdw"
Pd	111	C-O	5.04	[]	"This Work, BEEF-vdw"
Pd	111	CH	1.755	[]	"This Work, BEEF-vdw"
Pd	111	CH-H	2.25	[]	"This Work, BEEF-vdw"
Pd	111	CH2	1.65	[]	"This Work, BEEF-vdw"
Pd	111	CH2-H	1.925	[]	"This Work, BEEF-vdw"
Pd	111	CH3	0.925	[]	"This Work, BEEF-vdw"
Pd	111	CH3-H	1.1	[]	"This Work, BEEF-vdw"
Pd	111	CO	-0.12	[]	"This Work, BEEF-vdw"
Pd	111	CO-O	1.8	[]	"This Work, BEEF-vdw"
Pd	111	H	-0.395	[]	"This Work, BEEF-vdw"
Pd	111	H-H	0.515	[]	"This Work, BEEF-vdw"
Pd	111	O	0.86	[]	"This Work, BEEF-vdw"
Pt	111	C	2.16	[]	"This Work, BEEF-vdw"
Pt	111	C-H	3.13	[]	"This Work, BEEF-vdw"
Pt	111	C-O	5.36	[]	"This Work, BEEF-vdw"
Pt	111	CH	1.23	[]	"This Work, BEEF-vdw"
Pt	111	CH-H	1.8	[]	"This Work, BEEF-vdw"
Pt	111	CH2	1.21	[]	"This Work, BEEF-vdw"
Pt	111	CH2-H	1.53	[]	"This Work, BEEF-vdw"
Pt	111	CH3	0.55	[]	"This Work, BEEF-vdw"
Pt	111	CH3-H	1.1	[]	"This Work, BEEF-vdw"
Pt	111	CO	0.08	[]	"This Work, BEEF-vdw"
Pt	111	CO-O	1.7	[]	"This Work, BEEF-vdw"
Pt	111	H	-0.35	[]	"This Work, BEEF-vdw"
Pt	111	H-H	0.54	[]	"This Work, BEEF-vdw"
Pt	111	O	0.88	[]	"This Work, BEEF-vdw"
Rh	111	C	1.99	[]	"This Work, BEEF-vdw"
Rh	111	C-H	2.64	[]	"This Work, BEEF-vdw"
Rh	111	C-O	3.83	[]	"This Work, BEEF-vdw"
Rh	111	CH	1.24	[]	"This Work, BEEF-vdw"
Rh	111	CH-H	2.05	[]	"This Work, BEEF-vdw"
Rh	111	CH2	1.35	[]	"This Work, BEEF-vdw"
Rh	111	CH2-H	1.45	[]	"This Work, BEEF-vdw"
Rh	111	CH3	0.85	[]	"This Work, BEEF-vdw"
Rh	111	CH3-H	1.1	[]	"This Work, BEEF-vdw"
Rh	111	CO	-0.32	[]	"This Work, BEEF-vdw"
Rh	111	CO-O	0.74	[]	"This Work, BEEF-vdw"
Rh	111	H	-0.33	[]	"This Work, BEEF-vdw"
Rh	111	H-H	0.58	[]	"This Work, BEEF-vdw"
Rh	111	O	-0.15	[]	"This Work, BEEF-vdw"
Ru	111	C	1.852	[]	"This Work, BEEF-vdw"
Ru	111	C-H	2.321	[]	"This Work, BEEF-vdw"
Ru	111	C-O	0	[]	"This Work, BEEF-vdw"
Ru	111	CH	1.321	[]	"This Work, BEEF-vdw"
Ru	111	CH-H	1.511	[]	"This Work, BEEF-vdw"
Ru	111	CH2	1.291	[]	"This Work, BEEF-vdw"
Ru	111	CH2-H	1.49	[]	"This Work, BEEF-vdw"
Ru	111	CH3	0.79	[]	"This Work, BEEF-vdw"
Ru	111	CH3-H	1.1	[]	"This Work, BEEF-vdw"
Ru	111	CO	-0.32	[]	"This Work, BEEF-vdw"
Ru	111	CO-O	0.17	[]	"This Work, BEEF-vdw"
Ru	111	H	-0.5	[]	"This Work, BEEF-vdw"
Ru	111	H-H	-0.5	[]	"This Work, BEEF-vdw"
Ru	111	O	-1.982	[]	"This Work, BEEF-vdw"
