surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	reference				
None	gas	CH4	0	None	[]					
None	gas	CO2	0	None	[]					
None	gas	CO	1.28	None	[]					
None	gas	H2	0	None	[]					
Ru	111	CH3	0.79	fcc	[]					
Ru	111	CO	-0.32	fcc	[]					
Ru	111	CH2	1.291	fcc	[]					
Ru	111	CH	1.321	fcc	[]					
Ru	111	C	1.852	fcc	[]					
Ru	111	H	-0.5	fcc	[]					
Ru	111	O	-1.982	fcc	[]					
Rh	111	CH3	0.85	fcc	[]					
Rh	111	CO	-0.32	fcc	[]					
Rh	111	CH2	1.35	fcc	[]					
Rh	111	CH	1.24	fcc	[]					
Rh	111	C	1.99	fcc	[]					
Rh	111	H	-0.33	fcc	[]					
Rh	111	O	-0.15	fcc	[]					
Au	111	CH3	1.33	fcc	[]					
Au	111	CO	1.38	fcc	[]					
Au	111	CH2	2.66	fcc	[]					
Au	111	CH	3.24	fcc	[]					
Au	111	C	4.77	fcc	[]					
Au	111	H	0.17	fcc	[]					
Au	111	O	1.92	fcc	[]					
Ag	111	CH3	1.57	fcc	[]					
Ag	111	CO	1.33	fcc	[]					
Ag	111	CH2	3.04	fcc	[]					
Ag	111	CH	4.01	fcc	[]					
Ag	111	C	5.68	fcc	[]					
Ag	111	H	0.23	fcc	[]					
Ag	111	O	1.37	fcc	[]					
Pd	111	CH3	0.925	fcc	[]					
Pd	111	CO	-0.12	fcc	[]					
Pd	111	CH2	1.65	fcc	[]					
Pd	111	CH	1.755	fcc	[]					
Pd	111	C	2.54	fcc	[]					
Pd	111	H	-0.395	fcc	[]					
Pd	111	O	0.86	fcc	[]					
Pt	111	CH3	0.55	fcc	[]					
Pt	111	CO	0.08	fcc	[]					
Pt	111	CH2	1.21	fcc	[]					
Pt	111	CH	1.23	fcc	[]					
Pt	111	C	2.16	fcc	[]					
Pt	111	H	-0.35	fcc	[]					
Pt	111	O	0.88	fcc	[]					
Ru	111	CH3-H	1.1	fcc	[]					
Rh	111	CH3-H	1.1	fcc	[]					
Au	111	CH3-H	2.2	fcc	[]					
Ag	111	CH3-H	2.5	fcc	[]					
Pd	111	CH3-H	1.1	fcc	[]					
Pt	111	CH3-H	1.1	fcc	[]					
Ru	111	CH2-H	1.49	fcc	[]					
Rh	111	CH2-H	1.45	fcc	[]					
Au	111	CH2-H	3.43	fcc	[]					
Ag	111	CH2-H	3.97	fcc	[]					
Pd	111	CH2-H	1.925	fcc	[]					
Pt	111	CH2-H	1.53	fcc	[]					
Ru	111	CH-H	1.511	fcc	[]					
Rh	111	CH-H	2.05	fcc	[]					
Au	111	CH-H	4.26	fcc	[]					
Ag	111	CH-H	4.94	fcc	[]					
Pd	111	CH-H	2.25	fcc	[]					
Pt	111	CH-H	1.8	fcc	[]					
Ru	111	C-H	2.321	fcc	[]					
Rh	111	C-H	2.64	fcc	[]					
Au	111	C-H	5.84	fcc	[]					
Ag	111	C-H	6.61	fcc	[]					
Pd	111	C-H	3.155	fcc	[]					
Pt	111	C-H	3.13	fcc	[]					
Ru	111	CO-O	0.17	fcc	[]					
Rh	111	CO-O	0.74	fcc	[]					
Au	111	CO-O	3.4	fcc	[]					
Ag	111	CO-O	2.7	fcc	[]					
Pd	111	CO-O	1.8	fcc	[]					
Pt	111	CO-O	1.7	fcc	[]					
Ru	111	C-O		fcc	"[506.9, 420.5, 385.3, 330.8, 219.4]"	Guess				
Rh	111	C-O	4.26	fcc	"[506.9, 420.5, 385.3, 330.8, 219.4]"	From Jong Suk Yoo (incorrect ref)				
Au	111	C-O		fcc	"[506.9, 420.5, 385.3, 330.8, 219.4]"	Guess				
Ag	111	C-O	8.7	fcc	"[506.9, 420.5, 385.3, 330.8, 219.4]"	From Jong Suk Yoo (incorrect ref)				
Pd	111	C-O	5.36	fcc	"[506.9, 420.5, 385.3, 330.8, 219.4]"	From Jong Suk Yoo (incorrect ref)				
Pt	111	C-O	5.36	fcc	"[506.9, 420.5, 385.3, 330.8, 219.4]"	From Jong Suk Yoo (incorrect ref)				
Ru	111	H-H	-0.5	fcc	[]					
Rh	111	H-H	0.58	fcc	[]					
Au	111	H-H	0.93	fcc	[]					
Ag	111	H-H	0.77	fcc	[]					
Pd	111	H-H	0.515	fcc	[]					
Pt	111	H-H	0.54	fcc	[]					
										
