surface_name	site_name	species_name	formation_energy	frequencies	reference
Ag	211	C	5.053	[498,461,382]	This Work, BEEF-vdw
Ag	211	C-H	5.99	[]	This Work, BEEF-vdw
Ag	211	C-O	4.843	[]	This Work, BEEF-vdw
Ag	211	CH	3.92	[2946,736,690,449,379,334]	This Work, BEEF-vdw
Ag	211	CH-H	4.74	[]	This Work, BEEF-vdw
Ag	211	CH2	2.87	[3098,2977,1257,684,546,495,483,318,113]	This Work, BEEF-vdw
Ag	211	CH2-H	3.52	[]	This Work, BEEF-vdw
Ag	211	CH3	1.39	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	This Work, BEEF-vdw
Ag	211	CH3-H	2.23	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	This Work, BEEF-vdw
Ag	211	CO	2.883	[1888,346,323,287,214,160]	This Work, BEEF-vdw
Ag	211	CO-	2.883	[579,516,453,449,363]	This Work, BEEF-vdw
Ag	211	H	0.277	[313,1287,1063]	This Work, BEEF-vdw
Ag	211	H-H	0.99	[]	This Work, BEEF-vdw
Ag	211	H-OH	1.389	[]	This Work, BEEF-vdw
Ag	211	O	2.11	[573,388,97]	This Work, BEEF-vdw
Ag	211	O-H	2.801	[]	This Work, BEEF-vdw
Ag	211	OH	0.492	[3771,646,613,417,266,75]	This Work, BEEF-vdw
Cu	211	C	3.503	[498,461,382]	This Work, BEEF-vdw
Cu	211	C-H	4.31	[]	This Work, BEEF-vdw
Cu	211	C-O	4.243	[]	This Work, BEEF-vdw
Cu	211	CH	2.7	[2946,736,690,449,379,334]	This Work, BEEF-vdw
Cu	211	CH-H	3.27	[]	This Work, BEEF-vdw
Cu	211	CH2	2.22	[3098,2977,1257,684,546,495,483,318,113]	This Work, BEEF-vdw
Cu	211	CH2-H	2.5	[]	This Work, BEEF-vdw
Cu	211	CH3	0.97	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	This Work, BEEF-vdw
Cu	211	CH3-H	1.7	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	This Work, BEEF-vdw
Cu	211	CO	2.283	[1888,346,323,287,214,160]	This Work, BEEF-vdw
Cu	211	CO-	2.283	[579,516,453,449,363]	This Work, BEEF-vdw
Cu	211	H	-0.059	[313,1287,1063]	This Work, BEEF-vdw
Cu	211	H-H	0.68	[]	This Work, BEEF-vdw
Cu	211	H-OH	0.798	[]	This Work, BEEF-vdw
Cu	211	O	0.93	[573,388,97]	This Work, BEEF-vdw
