surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CH4	0	[]	Jones
None	gas	H2O	0	[]	Jones
None	gas	H2	0	[]	Jones
None	gas	CO	2.94	[]	Jones
Ag	211	OH	0.492	[3771,646,613,417,266,75]	Jones
Ag	211	CH3	1.39	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	Jones
Ag	211	CH2	2.87	[3098,2977,1257,684,546,495,483,318,113]	Jones
Ag	211	CH	3.92	[2946,736,690,449,379,334]	Jones
Ag	211	C	5.053	[498,461,382]	Jones
Ag	211	O	2.11	[573,388,97]	Jones
Ag	211	H	0.277	[313,1287,1063]	Jones
Ag	211	CO	2.883	[1888,346,323,287,214,160]	Jones
Ag	211	CH3-H	2.23	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	Jones
Ag	211	H-OH	1.389	[]	Jones
Ag	211	O-H	2.801	[]	Jones
Ag	211	CH2-H	3.52	[]	Jones
Ag	211	CH-H	4.74	[]	Jones
Ag	211	C-H	5.99	[]	Jones
Ag	211	C-O	4.843	[]	Jones
Ag	211	H-H	0.99	[]	Jones
Ag	211	CO-	2.883	[579,516,453,449,363]	Jones
Cu	211	OH	-0.038	[3771,646,613,417,266,75]	Jones
Cu	211	CH3	0.97	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	Jones
Cu	211	CH2	2.22	[3098,2977,1257,684,546,495,483,318,113]	Jones
Cu	211	CH	2.7	[2946,736,690,449,379,334]	Jones
Cu	211	C	3.503	[498,461,382]	Jones
Cu	211	O	0.93	[573,388,97]	Jones
Cu	211	H	-0.059	[313,1287,1063]	Jones
Cu	211	CO	2.283	[1888,346,323,287,214,160]	Jones
Cu	211	CH3-H	1.7	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	Jones
Cu	211	H-OH	0.798	[]	Jones
Cu	211	O-H	1.628	[]	Jones
Cu	211	CH2-H	2.5	[]	Jones
Cu	211	CH-H	3.27	[]	Jones
Cu	211	C-H	4.31	[]	Jones
Cu	211	C-O	4.243	[]	Jones
Cu	211	H-H	0.68	[]	Jones
Cu	211	CO-	2.283	[579,516,453,449,363]	Jones
Pd	211	OH	0.343	[3771,646,613,417,266,75]	Jones
Pd	211	CH3	0.79	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	Jones
Pd	211	CH2	1.28	[3098,2977,1257,684,546,495,483,318,113]	Jones
Pd	211	CH	1.57	[2946,736,690,449,379,334]	Jones
Pd	211	C	1.573	[498,461,382]	Jones
Pd	211	O	1.58	[573,388,97]	Jones
Pd	211	H	-0.45	[313,1287,1063]	Jones
Pd	211	CO	1.223	[1888,346,323,287,214,160]	Jones
Pd	211	CH3-H	0.83	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	Jones
Pd	211	H-OH	0.823	[]	Jones
Pd	211	O-H	1.753	[]	Jones
Pd	211	CH2-H	1.53	[]	Jones
Pd	211	CH-H	2.05	[]	Jones
Pd	211	C-H	2.25	[]	Jones
Pd	211	C-O	3.183	[]	Jones
Pd	211	H-H	0.1	[]	Jones
Pd	211	CO-	1.223	[579,516,453,449,363]	Jones
Pt	211	OH	0.362	[3771,646,613,417,266,75]	Jones
Pt	211	CH3	0.46	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	Jones
Pt	211	CH2	0.76	[3098,2977,1257,684,546,495,483,318,113]	Jones
Pt	211	CH	1.19	[2946,736,690,449,379,334]	Jones
Pt	211	C	2.043	[498,461,382]	Jones
Pt	211	O	1.32	[573,388,97]	Jones
Pt	211	H	-0.5	[313,1287,1063]	Jones
Pt	211	CO	1.113	[1888,346,323,287,214,160]	Jones
Pt	211	CH3-H	0.73	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	Jones
Pt	211	H-OH	0.719	[]	Jones
Pt	211	O-H	1.6	[]	Jones
Pt	211	CH2-H	0.94	[]	Jones
Pt	211	CH-H	2.35	[]	Jones
Pt	211	C-H	3.06	[]	Jones
Pt	211	C-O	3.073	[]	Jones
Pt	211	H-H	0.09	[]	Jones
Pt	211	CO-	1.113	[579,516,453,449,363]	Jones
Ni	211	OH	-0.5405	[3771,646,613,417,266,75]	Jones
Ni	211	CH3	0.3455	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	Jones
Ni	211	CH2	1.051	[3098,2977,1257,684,546,495,483,318,113]	Jones
Ni	211	CH	1.0815	[2946,736,690,449,379,334]	Jones
Ni	211	C	1.662	[498,461,382]	Jones
Ni	211	O	0.091	[573,388,97]	Jones
Ni	211	H	-0.3805	[313,1287,1063]	Jones
Ni	211	CO	1.273	[1888,346,323,287,214,160]	Jones
Ni	211	CH3-H	1.13	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	Jones
Ni	211	H-OH	0.349	[]	Jones
Ni	211	O-H	0.6335	[]	Jones
Ni	211	CH2-H	1.3655	[]	Jones
Ni	211	CH-H	1.841	[]	Jones
Ni	211	C-H	2.5815	[]	Jones
Ni	211	C-O	3.233	[]	Jones
