Energy	a	b	c
Energy	a	b	c
Energy	a	b	c
Energy	a	b	c
Energy	a	b	c
Energy	a
-1070.40777699	2.5
-1077.64498989	2.625
-1082.56372781	2.75
-1085.84970181	2.875
Energy	a
-1070.40777699	2.5
-1077.64499002	2.625
-1082.56372774	2.75
-1085.84971079	2.875
-1089.315973	3.125
-1090.54147549	3.375
-1090.43173755	3.875
-1090.75240671	3.625
-1090.43173755	3.875
-1090.73853728	3.5
-1090.63489013	3.75
-1090.76497416	3.5625
-1090.73853728	3.5
-1090.76310664	3.59375
-1090.75714571	3.53125
-1090.76520865	3.578125
-1090.76310664	3.59375
-1090.76537893	3.5703125
-1090.76497416	3.5625
-1090.7654794	3.57421875
-1090.76520865	3.578125
-1090.76523627	3.572265625
-1090.76523627	3.572265625
-1090.76534382	3.576171875
-1090.76554981	3.5751953125
-1090.76534382	3.576171875
-1090.76570519	3.57470703125
-1090.7654794	3.57421875
-1090.76562784	3.57495117188
-1090.76564621	3.57446289062
-1090.76560791	3.57458496094
-1090.76566655	3.57482910156
-1090.76560791	3.57458496094
-1090.76568587	3.57476806641
