Energy	a
Energy	a
-1348.90199857	2.5
-1356.31668629	2.625
-1361.28300012	2.75
-1364.57187506	2.875
-1368.06513981	3.125
-1369.29379956	3.375
-1369.16087943	3.875
-1369.46310948	3.625
-1369.16087943	3.875
-1369.4639861	3.5
-1369.29379956	3.375
-1369.48073287	3.5625
-1369.46310948	3.625
-1369.47705865	3.53125
-1369.47577427	3.59375
-1369.47993809	3.546875
-1369.47926992	3.578125
-1369.48068498	3.5546875
-1369.48029068	3.5703125
-1369.48081124	3.55859375
-1369.48068498	3.5546875
-1369.48067804	3.560546875
-1369.48067804	3.560546875
-1369.48069933	3.556640625
-1369.48084858	3.5576171875
-1369.48069933	3.556640625
-1369.4808628	3.55810546875
-1369.48081124	3.55859375
-1369.48081954	3.55786132812
-1369.48081954	3.55786132812
-1369.48083362	3.55834960938
-1369.48084831	3.55822753906
-1369.48080477	3.55798339844
-1369.48085566	3.55816650391
Energy	a
-1348.90199571	2.5
-1356.31668847	2.625
-1361.28300237	2.75
-1364.57187438	2.875
-1368.06511335	3.125
-1369.29378365	3.375
-1369.16086583	3.875
-1369.46310846	3.625
-1369.16086583	3.875
-1369.46397106	3.5
-1369.29378365	3.375
-1369.48069525	3.5625
-1369.46310846	3.625
-1369.47709811	3.53125
-1369.47579108	3.59375
-1369.47991782	3.546875
-1369.47926495	3.578125
-1369.48065498	3.5546875
-1369.48022483	3.5703125
-1369.48078239	3.55859375
-1369.48065498	3.5546875
-1369.48069838	3.560546875
-1369.4807228	3.556640625
-1369.48080865	3.5576171875
-1369.4807228	3.556640625
-1369.48084287	3.55810546875
-1369.48078239	3.55859375
-1369.48077967	3.55786132812
-1369.48077967	3.55786132812
-1369.48081294	3.55834960938
-1369.48082804	3.55822753906
-1369.48076491	3.55798339844
-1369.48083545	3.55816650391
